Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
| train/                  |               |
|    approx_kl            | 0.00036279278 |
|    clip_fraction        | 0.00464       |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.0508       |
|    explained_variance   | 0.0541        |
|    learning_rate        | 0.0003        |
|    loss                 | 40.9          |
|    n_updates            | 1140          |
|    policy_gradient_loss | -0.00045      |
|    value_loss           | 79.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -46           |
| time/                   |               |
|    fps                  | 484           |
|    iterations           | 116           |
|    time_elapsed         | 490           |
|    total_timesteps      | 237568        |
| train/                  |               |
|    approx_kl            | 0.00016817157 |
|    clip_fraction        | 0.000537      |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.0291       |
|    explained_variance   | 0.0237        |
|    learning_rate        | 0.0003        |
|    loss                 | 50.2          |
|    n_updates            | 1150          |
|    policy_gradient_loss | -8.67e-05     |
|    value_loss           | 91.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -45.9        |
| time/                   |              |
|    fps                  | 485          |
|    iterations           | 117          |
|    time_elapsed         | 493          |
|    total_timesteps      | 239616       |
| train/                  |              |
|    approx_kl            | 0.0015231944 |
|    clip_fraction        | 0.0042       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.0406      |
|    explained_variance   | 0.0593       |
|    learning_rate        | 0.0003       |
|    loss                 | 36           |
|    n_updates            | 1160         |
|    policy_gradient_loss | -0.000388    |
|    value_loss           | 76.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -45.6        |
| time/                   |              |
|    fps                  | 486          |
|    iterations           | 118          |
|    time_elapsed         | 496          |
|    total_timesteps      | 241664       |
| train/                  |              |
|    approx_kl            | 0.0008715985 |
|    clip_fraction        | 0.00474      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.0746      |
|    explained_variance   | 0.0898       |
|    learning_rate        | 0.0003       |
|    loss                 | 45.5         |
|    n_updates            | 1170         |
|    policy_gradient_loss | -0.000871    |
|    value_loss           | 91.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -45.2        |
| time/                   |              |
|    fps                  | 486          |
|    iterations           | 119          |
|    time_elapsed         | 500          |
|    total_timesteps      | 243712       |
| train/                  |              |
|    approx_kl            | 3.425294e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.0819      |
|    explained_variance   | 0.0569       |
|    learning_rate        | 0.0003       |
|    loss                 | 45.6         |
|    n_updates            | 1180         |
|    policy_gradient_loss | -1.22e-06    |
|    value_loss           | 89           |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -45.1         |
| time/                   |               |
|    fps                  | 488           |
|    iterations           | 120           |
|    time_elapsed         | 503           |
|    total_timesteps      | 245760        |
| train/                  |               |
|    approx_kl            | 2.2729364e-05 |
|    clip_fraction        | 9.77e-05      |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.0667       |
|    explained_variance   | 0.0621        |
|    learning_rate        | 0.0003        |
|    loss                 | 43.9          |
|    n_updates            | 1190          |
|    policy_gradient_loss | 0.000116      |
|    value_loss           | 89.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -45.2        |
| time/                   |              |
|    fps                  | 489          |
|    iterations           | 121          |
|    time_elapsed         | 506          |
|    total_timesteps      | 247808       |
| train/                  |              |
|    approx_kl            | 0.0053818785 |
|    clip_fraction        | 0.0125       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.123       |
|    explained_variance   | 0.045        |
|    learning_rate        | 0.0003       |
|    loss                 | 46.9         |
|    n_updates            | 1200         |
|    policy_gradient_loss | -0.00108     |
|    value_loss           | 94.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -44.9         |
| time/                   |               |
|    fps                  | 490           |
|    iterations           | 122           |
|    time_elapsed         | 509           |
|    total_timesteps      | 249856        |
| train/                  |               |
|    approx_kl            | 0.00018888296 |
|    clip_fraction        | 0.00303       |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.0937       |
|    explained_variance   | 0.0179        |
|    learning_rate        | 0.0003        |
|    loss                 | 39.5          |
|    n_updates            | 1210          |
|    policy_gradient_loss | 0.000195      |
|    value_loss           | 84.7          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -44.8         |
| time/                   |               |
|    fps                  | 491           |
|    iterations           | 123           |
|    time_elapsed         | 512           |
|    total_timesteps      | 251904        |
| train/                  |               |
|    approx_kl            | 0.00010854215 |
|    clip_fraction        | 0.000439      |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.0947       |
|    explained_variance   | 0.0783        |
|    learning_rate        | 0.0003        |
|    loss                 | 46.3          |
|    n_updates            | 1220          |
|    policy_gradient_loss | -0.000224     |
|    value_loss           | 86.4          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -44.6       |
| time/                   |             |
|    fps                  | 492         |
|    iterations           | 124         |
|    time_elapsed         | 515         |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.001426716 |
|    clip_fraction        | 0.00454     |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0874     |
|    explained_variance   | 0.0513      |
|    learning_rate        | 0.0003      |
|    loss                 | 41          |
|    n_updates            | 1230        |
|    policy_gradient_loss | -0.000249   |
|    value_loss           | 86.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -44.7        |
| time/                   |              |
|    fps                  | 493          |
|    iterations           | 125          |
|    time_elapsed         | 518          |
|    total_timesteps      | 256000       |
| train/                  |              |
|    approx_kl            | 0.0041639614 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.14        |
|    explained_variance   | 0.101        |
|    learning_rate        | 0.0003       |
|    loss                 | 41           |
|    n_updates            | 1240         |
|    policy_gradient_loss | 3.88e-05     |
|    value_loss           | 82.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -44.1       |
| time/                   |             |
|    fps                  | 493         |
|    iterations           | 126         |
|    time_elapsed         | 522         |
|    total_timesteps      | 258048      |
| train/                  |             |
|    approx_kl            | 0.006569679 |
|    clip_fraction        | 0.0231      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.191      |
|    explained_variance   | 0.0789      |
|    learning_rate        | 0.0003      |
|    loss                 | 44.7        |
|    n_updates            | 1250        |
|    policy_gradient_loss | -0.000304   |
|    value_loss           | 84.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -44         |
| time/                   |             |
|    fps                  | 494         |
|    iterations           | 127         |
|    time_elapsed         | 526         |
|    total_timesteps      | 260096      |
| train/                  |             |
|    approx_kl            | 0.001219952 |
|    clip_fraction        | 0.0188      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.158      |
|    explained_variance   | 0.0363      |
|    learning_rate        | 0.0003      |
|    loss                 | 49.8        |
|    n_updates            | 1260        |
|    policy_gradient_loss | 0.000493    |
|    value_loss           | 107         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.7        |
| time/                   |              |
|    fps                  | 495          |
|    iterations           | 128          |
|    time_elapsed         | 529          |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0054082843 |
|    clip_fraction        | 0.0291       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.198       |
|    explained_variance   | 0.0901       |
|    learning_rate        | 0.0003       |
|    loss                 | 39.6         |
|    n_updates            | 1270         |
|    policy_gradient_loss | -0.00209     |
|    value_loss           | 83.2         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43.3         |
| time/                   |               |
|    fps                  | 496           |
|    iterations           | 129           |
|    time_elapsed         | 531           |
|    total_timesteps      | 264192        |
| train/                  |               |
|    approx_kl            | 0.00042229006 |
|    clip_fraction        | 0.0121        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.178        |
|    explained_variance   | 0.0974        |
|    learning_rate        | 0.0003        |
|    loss                 | 35.3          |
|    n_updates            | 1280          |
|    policy_gradient_loss | -0.000302     |
|    value_loss           | 69.1          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43           |
| time/                   |               |
|    fps                  | 497           |
|    iterations           | 130           |
|    time_elapsed         | 534           |
|    total_timesteps      | 266240        |
| train/                  |               |
|    approx_kl            | 0.00032086315 |
|    clip_fraction        | 0.0216        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.207        |
|    explained_variance   | 0.125         |
|    learning_rate        | 0.0003        |
|    loss                 | 37.3          |
|    n_updates            | 1290          |
|    policy_gradient_loss | 0.000884      |
|    value_loss           | 86.1          |
-------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -43.4      |
| time/                   |            |
|    fps                  | 498        |
|    iterations           | 131        |
|    time_elapsed         | 537        |
|    total_timesteps      | 268288     |
| train/                  |            |
|    approx_kl            | 0.00278004 |
|    clip_fraction        | 0.034      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.219     |
|    explained_variance   | 0.0991     |
|    learning_rate        | 0.0003     |
|    loss                 | 45.2       |
|    n_updates            | 1300       |
|    policy_gradient_loss | 0.000497   |
|    value_loss           | 82         |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.5        |
| time/                   |              |
|    fps                  | 499          |
|    iterations           | 132          |
|    time_elapsed         | 541          |
|    total_timesteps      | 270336       |
| train/                  |              |
|    approx_kl            | 0.0011998864 |
|    clip_fraction        | 0.0202       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.163       |
|    explained_variance   | 0.0934       |
|    learning_rate        | 0.0003       |
|    loss                 | 44.5         |
|    n_updates            | 1310         |
|    policy_gradient_loss | 0.00125      |
|    value_loss           | 90.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.6       |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 133         |
|    time_elapsed         | 544         |
|    total_timesteps      | 272384      |
| train/                  |             |
|    approx_kl            | 0.002029352 |
|    clip_fraction        | 0.0204      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.195      |
|    explained_variance   | 0.142       |
|    learning_rate        | 0.0003      |
|    loss                 | 36.2        |
|    n_updates            | 1320        |
|    policy_gradient_loss | -0.000876   |
|    value_loss           | 76.9        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.3        |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 134          |
|    time_elapsed         | 547          |
|    total_timesteps      | 274432       |
| train/                  |              |
|    approx_kl            | 0.0007498965 |
|    clip_fraction        | 0.0263       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.205       |
|    explained_variance   | 0.142        |
|    learning_rate        | 0.0003       |
|    loss                 | 40.6         |
|    n_updates            | 1330         |
|    policy_gradient_loss | 0.000355     |
|    value_loss           | 79.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.3        |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 135          |
|    time_elapsed         | 551          |
|    total_timesteps      | 276480       |
| train/                  |              |
|    approx_kl            | 0.0007640348 |
|    clip_fraction        | 0.0107       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.165       |
|    explained_variance   | 0.103        |
|    learning_rate        | 0.0003       |
|    loss                 | 39.4         |
|    n_updates            | 1340         |
|    policy_gradient_loss | 0.000328     |
|    value_loss           | 79.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.4        |
| time/                   |              |
|    fps                  | 502          |
|    iterations           | 136          |
|    time_elapsed         | 554          |
|    total_timesteps      | 278528       |
| train/                  |              |
|    approx_kl            | 0.0063306573 |
|    clip_fraction        | 0.0366       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.201       |
|    explained_variance   | 0.188        |
|    learning_rate        | 0.0003       |
|    loss                 | 34.1         |
|    n_updates            | 1350         |
|    policy_gradient_loss | -0.00139     |
|    value_loss           | 64.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43.4         |
| time/                   |               |
|    fps                  | 502           |
|    iterations           | 137           |
|    time_elapsed         | 557           |
|    total_timesteps      | 280576        |
| train/                  |               |
|    approx_kl            | 0.00087894744 |
|    clip_fraction        | 0.0272        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.27         |
|    explained_variance   | 0.117         |
|    learning_rate        | 0.0003        |
|    loss                 | 37.2          |
|    n_updates            | 1360          |
|    policy_gradient_loss | 0.000809      |
|    value_loss           | 75.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.2        |
| time/                   |              |
|    fps                  | 503          |
|    iterations           | 138          |
|    time_elapsed         | 561          |
|    total_timesteps      | 282624       |
| train/                  |              |
|    approx_kl            | 0.0011724303 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.201       |
|    explained_variance   | 0.0908       |
|    learning_rate        | 0.0003       |
|    loss                 | 36.9         |
|    n_updates            | 1370         |
|    policy_gradient_loss | 0.000421     |
|    value_loss           | 71.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43.2         |
| time/                   |               |
|    fps                  | 504           |
|    iterations           | 139           |
|    time_elapsed         | 564           |
|    total_timesteps      | 284672        |
| train/                  |               |
|    approx_kl            | 0.00046893503 |
|    clip_fraction        | 0.0364        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.218        |
|    explained_variance   | 0.0935        |
|    learning_rate        | 0.0003        |
|    loss                 | 36            |
|    n_updates            | 1380          |
|    policy_gradient_loss | 0.0021        |
|    value_loss           | 78.4          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43.1         |
| time/                   |               |
|    fps                  | 505           |
|    iterations           | 140           |
|    time_elapsed         | 567           |
|    total_timesteps      | 286720        |
| train/                  |               |
|    approx_kl            | 0.00016235869 |
|    clip_fraction        | 0.0187        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.222        |
|    explained_variance   | 0.112         |
|    learning_rate        | 0.0003        |
|    loss                 | 35.8          |
|    n_updates            | 1390          |
|    policy_gradient_loss | 0.0011        |
|    value_loss           | 67.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.1        |
| time/                   |              |
|    fps                  | 506          |
|    iterations           | 141          |
|    time_elapsed         | 570          |
|    total_timesteps      | 288768       |
| train/                  |              |
|    approx_kl            | 0.0005875107 |
|    clip_fraction        | 0.0124       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.179       |
|    explained_variance   | 0.083        |
|    learning_rate        | 0.0003       |
|    loss                 | 30           |
|    n_updates            | 1400         |
|    policy_gradient_loss | 0.000326     |
|    value_loss           | 64.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.3        |
| time/                   |              |
|    fps                  | 506          |
|    iterations           | 142          |
|    time_elapsed         | 574          |
|    total_timesteps      | 290816       |
| train/                  |              |
|    approx_kl            | 0.0003194635 |
|    clip_fraction        | 0.0208       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.222       |
|    explained_variance   | 0.108        |
|    learning_rate        | 0.0003       |
|    loss                 | 37.1         |
|    n_updates            | 1410         |
|    policy_gradient_loss | 0.000343     |
|    value_loss           | 70.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.1        |
| time/                   |              |
|    fps                  | 507          |
|    iterations           | 143          |
|    time_elapsed         | 576          |
|    total_timesteps      | 292864       |
| train/                  |              |
|    approx_kl            | 0.0020765616 |
|    clip_fraction        | 0.0171       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.2         |
|    explained_variance   | 0.0759       |
|    learning_rate        | 0.0003       |
|    loss                 | 36           |
|    n_updates            | 1420         |
|    policy_gradient_loss | 0.00086      |
|    value_loss           | 77.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.1       |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 144         |
|    time_elapsed         | 580         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.029995404 |
|    clip_fraction        | 0.0315      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.239      |
|    explained_variance   | 0.0967      |
|    learning_rate        | 0.0003      |
|    loss                 | 53.5        |
|    n_updates            | 1430        |
|    policy_gradient_loss | 0.00267     |
|    value_loss           | 87.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.3        |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 145          |
|    time_elapsed         | 584          |
|    total_timesteps      | 296960       |
| train/                  |              |
|    approx_kl            | 0.0017700285 |
|    clip_fraction        | 0.0487       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.27        |
|    explained_variance   | 0.079        |
|    learning_rate        | 0.0003       |
|    loss                 | 45.8         |
|    n_updates            | 1440         |
|    policy_gradient_loss | 0.00476      |
|    value_loss           | 98.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.1       |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 146         |
|    time_elapsed         | 587         |
|    total_timesteps      | 299008      |
| train/                  |             |
|    approx_kl            | 0.041562088 |
|    clip_fraction        | 0.0724      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.385      |
|    explained_variance   | 0.0623      |
|    learning_rate        | 0.0003      |
|    loss                 | 47.9        |
|    n_updates            | 1450        |
|    policy_gradient_loss | 0.00615     |
|    value_loss           | 90.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.2       |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 147         |
|    time_elapsed         | 590         |
|    total_timesteps      | 301056      |
| train/                  |             |
|    approx_kl            | 0.041216604 |
|    clip_fraction        | 0.332       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.589      |
|    explained_variance   | 0.0839      |
|    learning_rate        | 0.0003      |
|    loss                 | 52.1        |
|    n_updates            | 1460        |
|    policy_gradient_loss | 0.0268      |
|    value_loss           | 109         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.9        |
| time/                   |              |
|    fps                  | 511          |
|    iterations           | 148          |
|    time_elapsed         | 592          |
|    total_timesteps      | 303104       |
| train/                  |              |
|    approx_kl            | 0.0023759007 |
|    clip_fraction        | 0.551        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.553       |
|    explained_variance   | 0.137        |
|    learning_rate        | 0.0003       |
|    loss                 | 52           |
|    n_updates            | 1470         |
|    policy_gradient_loss | 0.0385       |
|    value_loss           | 106          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.9       |
| time/                   |             |
|    fps                  | 512         |
|    iterations           | 149         |
|    time_elapsed         | 595         |
|    total_timesteps      | 305152      |
| train/                  |             |
|    approx_kl            | 0.034525298 |
|    clip_fraction        | 0.533       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.573      |
|    explained_variance   | 0.126       |
|    learning_rate        | 0.0003      |
|    loss                 | 53.3        |
|    n_updates            | 1480        |
|    policy_gradient_loss | 0.0271      |
|    value_loss           | 106         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 50        |
|    ep_rew_mean          | -43       |
| time/                   |           |
|    fps                  | 513       |
|    iterations           | 150       |
|    time_elapsed         | 598       |
|    total_timesteps      | 307200    |
| train/                  |           |
|    approx_kl            | 0.0659772 |
|    clip_fraction        | 0.532     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.591    |
|    explained_variance   | 0.161     |
|    learning_rate        | 0.0003    |
|    loss                 | 57.2      |
|    n_updates            | 1490      |
|    policy_gradient_loss | 0.0325    |
|    value_loss           | 103       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.9       |
| time/                   |             |
|    fps                  | 512         |
|    iterations           | 151         |
|    time_elapsed         | 602         |
|    total_timesteps      | 309248      |
| train/                  |             |
|    approx_kl            | 0.035501122 |
|    clip_fraction        | 0.509       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.566      |
|    explained_variance   | 0.196       |
|    learning_rate        | 0.0003      |
|    loss                 | 63.5        |
|    n_updates            | 1500        |
|    policy_gradient_loss | 0.0311      |
|    value_loss           | 111         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.1       |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 152         |
|    time_elapsed         | 606         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.004692753 |
|    clip_fraction        | 0.48        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.457      |
|    explained_variance   | 0.187       |
|    learning_rate        | 0.0003      |
|    loss                 | 53.1        |
|    n_updates            | 1510        |
|    policy_gradient_loss | 0.0573      |
|    value_loss           | 108         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.1        |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 153          |
|    time_elapsed         | 609          |
|    total_timesteps      | 313344       |
| train/                  |              |
|    approx_kl            | 0.0008500455 |
|    clip_fraction        | 0.18         |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.499       |
|    explained_variance   | 0.233        |
|    learning_rate        | 0.0003       |
|    loss                 | 45.1         |
|    n_updates            | 1520         |
|    policy_gradient_loss | 0.0184       |
|    value_loss           | 92.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.5        |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 154          |
|    time_elapsed         | 612          |
|    total_timesteps      | 315392       |
| train/                  |              |
|    approx_kl            | 0.0036520003 |
|    clip_fraction        | 0.339        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.412       |
|    explained_variance   | 0.232        |
|    learning_rate        | 0.0003       |
|    loss                 | 45.8         |
|    n_updates            | 1530         |
|    policy_gradient_loss | 0.0213       |
|    value_loss           | 86           |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -43.4      |
| time/                   |            |
|    fps                  | 515        |
|    iterations           | 155        |
|    time_elapsed         | 615        |
|    total_timesteps      | 317440     |
| train/                  |            |
|    approx_kl            | 0.01296393 |
|    clip_fraction        | 0.0704     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.55      |
|    explained_variance   | 0.135      |
|    learning_rate        | 0.0003     |
|    loss                 | 36.8       |
|    n_updates            | 1540       |
|    policy_gradient_loss | 0.00367    |
|    value_loss           | 74.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -43.5       |
| time/                   |             |
|    fps                  | 516         |
|    iterations           | 156         |
|    time_elapsed         | 618         |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.006694328 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.5        |
|    explained_variance   | 0.225       |
|    learning_rate        | 0.0003      |
|    loss                 | 33.2        |
|    n_updates            | 1550        |
|    policy_gradient_loss | 0.00668     |
|    value_loss           | 70.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.7       |
| time/                   |             |
|    fps                  | 516         |
|    iterations           | 157         |
|    time_elapsed         | 622         |
|    total_timesteps      | 321536      |
| train/                  |             |
|    approx_kl            | 0.006502684 |
|    clip_fraction        | 0.0497      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.434      |
|    explained_variance   | 0.258       |
|    learning_rate        | 0.0003      |
|    loss                 | 38.5        |
|    n_updates            | 1560        |
|    policy_gradient_loss | 0.0014      |
|    value_loss           | 72.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.7        |
| time/                   |              |
|    fps                  | 517          |
|    iterations           | 158          |
|    time_elapsed         | 625          |
|    total_timesteps      | 323584       |
| train/                  |              |
|    approx_kl            | 0.0050180973 |
|    clip_fraction        | 0.0719       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.481       |
|    explained_variance   | 0.236        |
|    learning_rate        | 0.0003       |
|    loss                 | 31.8         |
|    n_updates            | 1570         |
|    policy_gradient_loss | 0.000992     |
|    value_loss           | 63           |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -42.5      |
| time/                   |            |
|    fps                  | 518        |
|    iterations           | 159        |
|    time_elapsed         | 628        |
|    total_timesteps      | 325632     |
| train/                  |            |
|    approx_kl            | 0.00515543 |
|    clip_fraction        | 0.0915     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.571     |
|    explained_variance   | 0.237      |
|    learning_rate        | 0.0003     |
|    loss                 | 32.9       |
|    n_updates            | 1580       |
|    policy_gradient_loss | 0.0024     |
|    value_loss           | 59.2       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.2       |
| time/                   |             |
|    fps                  | 518         |
|    iterations           | 160         |
|    time_elapsed         | 631         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.003482224 |
|    clip_fraction        | 0.0392      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.553      |
|    explained_variance   | 0.135       |
|    learning_rate        | 0.0003      |
|    loss                 | 35.8        |
|    n_updates            | 1590        |
|    policy_gradient_loss | -0.000162   |
|    value_loss           | 70.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -41.6       |
| time/                   |             |
|    fps                  | 519         |
|    iterations           | 161         |
|    time_elapsed         | 635         |
|    total_timesteps      | 329728      |
| train/                  |             |
|    approx_kl            | 0.002286837 |
|    clip_fraction        | 0.0691      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.572      |
|    explained_variance   | 0.247       |
|    learning_rate        | 0.0003      |
|    loss                 | 35.2        |
|    n_updates            | 1600        |
